id_client,anciennete_mois,facture_mensuelle,reclamations,resiliation
C0001,8,30.0,5,oui
C0002,3,45.0,4,oui
C0003,2,20.0,3,oui
C0004,36,15.0,0,non
C0005,4,80.0,0,oui
C0006,30,25.0,2,non
C0007,39,16.63,5,oui
C0008,52,48.81,1,non
C0009,29,47.72,4,non
C0010,15,57.16,0,non
C0011,43,59.1,0,non
C0012,8,52.22,0,non
C0013,21,15.66,1,non
C0014,39,62.85,1,non
C0015,58,42.89,1,non
C0016,19,25.89,1,non
C0017,23,36.7,0,non
C0018,11,17.03,2,non
C0019,11,38.12,1,oui
C0020,24,60.02,2,non
C0021,53,38.45,1,non
C0022,36,27.77,2,oui
C0023,40,39.84,0,non
C0024,24,54.22,2,non
C0025,3,18.01,0,non
C0026,22,24.62,2,oui
C0027,53,47.54,1,non
C0028,2,20.01,1,non
C0029,24,83.9,0,non
C0030,44,41.93,0,non
C0031,30,26.86,0,non
C0032,38,28.65,2,oui
C0033,2,35.34,3,oui
C0034,60,33.6,0,non
C0035,21,10.0,0,non
C0036,33,70.27,2,non
C0037,12,44.69,2,oui
C0038,58,44.45,3,non
C0039,22,61.36,2,non
C0040,44,23.91,5,non
C0041,25,29.83,0,non
C0042,49,54.15,2,non
C0043,27,43.71,1,non
C0044,59,51.9,3,non
C0045,42,43.4,2,non
C0046,28,40.17,2,non
C0047,60,73.67,1,non
C0048,16,66.32,1,non
C0049,15,10.0,0,non
C0050,47,74.61,1,oui
C0051,51,88.17,4,non
C0052,44,69.64,0,non
C0053,55,40.71,1,non
C0054,52,31.22,0,non
C0055,57,59.56,1,non
C0056,3,32.62,3,non
C0057,37,52.12,0,non
C0058,51,44.56,2,non
C0059,7,69.36,1,oui
C0060,21,37.21,0,non
C0061,9,36.14,0,non
C0062,39,52.56,0,non
C0063,18,83.68,2,oui
C0064,4,46.62,3,oui
C0065,25,36.67,1,non
C0066,60,62.15,1,non
C0067,14,59.36,1,oui
C0068,50,25.97,0,non
C0069,58,34.28,0,non
C0070,9,66.93,1,oui
C0071,26,53.56,1,non
C0072,53,10.0,0,non
C0073,2,54.64,1,oui
C0074,20,63.53,0,non
C0075,28,28.25,0,non
C0076,47,58.54,0,non
C0077,60,82.45,2,non
C0078,7,52.93,1,non
C0079,44,32.49,2,non
C0080,8,34.55,2,oui
C0081,47,45.26,2,non
C0082,35,52.56,2,oui
C0083,14,46.26,0,non
C0084,17,55.03,0,non
C0085,36,42.06,0,non
C0086,50,48.61,0,non
