id_client,anciennete_mois,facture_mensuelle,reclamations
C2026_001,48,60.88,1
C2026_002,5,68.53,5
C2026_003,26,16.29,1
C2026_004,55,41.86,2
C2026_005,4,10.0,0
C2026_006,20,41.63,1
C2026_007,24,10.0,1
C2026_008,40,37.42,1
C2026_009,29,54.54,3
C2026_010,58,57.0,1
C2026_011,15,58.94,0
C2026_012,24,10.0,2
C2026_013,9,37.71,1
C2026_014,26,10.4,0
C2026_015,47,71.83,1
C2026_016,43,19.94,0
C2026_017,27,31.26,1
C2026_018,9,10.0,2
C2026_019,40,32.22,3
C2026_020,39,77.22,0
C2026_021,5,34.89,2
C2026_022,49,76.4,2
C2026_023,8,83.16,0
C2026_024,45,24.11,2
C2026_025,1,10.0,0
C2026_026,12,58.69,0
C2026_027,56,49.29,0
C2026_028,59,81.92,1
C2026_029,7,48.33,0
C2026_030,20,46.43,1
C2026_031,45,38.09,0
C2026_032,6,47.83,0
C2026_033,57,61.14,2
C2026_034,25,11.69,0
C2026_035,56,69.51,1
C2026_036,54,43.01,2
C2026_037,49,37.08,0
C2026_038,60,29.72,3
C2026_039,1,78.43,3
C2026_040,35,39.89,0
C2026_041,57,22.42,0
C2026_042,10,44.12,0
C2026_043,15,19.06,1
C2026_044,39,21.89,1
C2026_045,5,27.83,1
C2026_046,47,34.76,0
C2026_047,10,18.56,1
C2026_048,24,10.0,1
C2026_049,36,58.52,0
C2026_050,4,57.54,0
